Epoch: 1, Train error: 0.11309, Test error: 0.10510
Epoch: 2, Train error: 0.08775, Test error: 0.08280
Epoch: 3, Train error: 0.07627, Test error: 0.07330
Epoch: 4, Train error: 0.06745, Test error: 0.06540
Epoch: 5, Train error: 0.06013, Test error: 0.05960
Epoch: 6, Train error: 0.05573, Test error: 0.05580
Epoch: 7, Train error: 0.05087, Test error: 0.05160
Epoch: 8, Train error: 0.04840, Test error: 0.04890
Epoch: 9, Train error: 0.04342, Test error: 0.04470
Epoch: 10, Train error: 0.04089, Test error: 0.04280
Epoch: 11, Train error: 0.03751, Test error: 0.03970
Epoch: 12, Train error: 0.03511, Test error: 0.03810
Epoch: 13, Train error: 0.03302, Test error: 0.03740
Epoch: 14, Train error: 0.03075, Test error: 0.03600
Epoch: 15, Train error: 0.02918, Test error: 0.03410
Epoch: 16, Train error: 0.02733, Test error: 0.03310
Epoch: 17, Train error: 0.02578, Test error: 0.03360
Epoch: 18, Train error: 0.02462, Test error: 0.03100
Epoch: 19, Train error: 0.02313, Test error: 0.03100
Epoch: 20, Train error: 0.02251, Test error: 0.02930
Epoch: 21, Train error: 0.02131, Test error: 0.02870
Epoch: 22, Train error: 0.02067, Test error: 0.02940
Epoch: 23, Train error: 0.01965, Test error: 0.02740
Epoch: 24, Train error: 0.01787, Test error: 0.02770
Epoch: 25, Train error: 0.01764, Test error: 0.02700
Epoch: 26, Train error: 0.01731, Test error: 0.02610
Epoch: 27, Train error: 0.01664, Test error: 0.02530
Epoch: 28, Train error: 0.01596, Test error: 0.02630
Epoch: 29, Train error: 0.01496, Test error: 0.02520
Epoch: 30, Train error: 0.01427, Test error: 0.02430
Epoch: 31, Train error: 0.01395, Test error: 0.02460
Epoch: 32, Train error: 0.01367, Test error: 0.02450
Epoch: 33, Train error: 0.01333, Test error: 0.02490
Epoch: 34, Train error: 0.01238, Test error: 0.02500
Epoch: 35, Train error: 0.01218, Test error: 0.02410
Epoch: 36, Train error: 0.01171, Test error: 0.02420
Epoch: 37, Train error: 0.01138, Test error: 0.02350
Epoch: 38, Train error: 0.01029, Test error: 0.02380
Epoch: 39, Train error: 0.01005, Test error: 0.02390
Epoch: 40, Train error: 0.01027, Test error: 0.02420
Epoch: 41, Train error: 0.00951, Test error: 0.02300
Epoch: 42, Train error: 0.00878, Test error: 0.02340
Epoch: 43, Train error: 0.00904, Test error: 0.02330
Epoch: 44, Train error: 0.00845, Test error: 0.02350
Epoch: 45, Train error: 0.00825, Test error: 0.02310
Epoch: 46, Train error: 0.00822, Test error: 0.02340
Epoch: 47, Train error: 0.00769, Test error: 0.02260
Epoch: 48, Train error: 0.00755, Test error: 0.02320
Epoch: 49, Train error: 0.00700, Test error: 0.02310
Epoch: 50, Train error: 0.00705, Test error: 0.02180
Epoch: 51, Train error: 0.00647, Test error: 0.02250
Epoch: 52, Train error: 0.00644, Test error: 0.02290
Epoch: 53, Train error: 0.00624, Test error: 0.02300
Epoch: 54, Train error: 0.00616, Test error: 0.02350
Epoch: 55, Train error: 0.00587, Test error: 0.02270
Epoch: 56, Train error: 0.00551, Test error: 0.02180
Epoch: 57, Train error: 0.00513, Test error: 0.02280
Epoch: 58, Train error: 0.00525, Test error: 0.02130
Epoch: 59, Train error: 0.00487, Test error: 0.02170
Epoch: 60, Train error: 0.00478, Test error: 0.02230
Epoch: 61, Train error: 0.00476, Test error: 0.02290
Epoch: 62, Train error: 0.00456, Test error: 0.02230
Epoch: 63, Train error: 0.00425, Test error: 0.02260
Epoch: 64, Train error: 0.00404, Test error: 0.02200
Epoch: 65, Train error: 0.00389, Test error: 0.02170
Epoch: 66, Train error: 0.00356, Test error: 0.02200
Epoch: 67, Train error: 0.00347, Test error: 0.02220
Epoch: 68, Train error: 0.00338, Test error: 0.02170
Epoch: 69, Train error: 0.00313, Test error: 0.02210
Epoch: 70, Train error: 0.00293, Test error: 0.02160
Epoch: 71, Train error: 0.00278, Test error: 0.02200
Epoch: 72, Train error: 0.00262, Test error: 0.02160
Epoch: 73, Train error: 0.00244, Test error: 0.02190
Epoch: 74, Train error: 0.00247, Test error: 0.02140
Epoch: 75, Train error: 0.00258, Test error: 0.02130
Epoch: 76, Train error: 0.00247, Test error: 0.02260
Epoch: 77, Train error: 0.00238, Test error: 0.02200
Epoch: 78, Train error: 0.00204, Test error: 0.02150
Epoch: 79, Train error: 0.00204, Test error: 0.02170
Epoch: 80, Train error: 0.00198, Test error: 0.02150
Epoch: 81, Train error: 0.00211, Test error: 0.02100
Epoch: 82, Train error: 0.00175, Test error: 0.02100
Epoch: 83, Train error: 0.00169, Test error: 0.02140
