Epoch: 1, Train error: 0.10449, test error: 0.09820
Epoch: 2, Train error: 0.09478, test error: 0.09030
Epoch: 3, Train error: 0.09076, test error: 0.08430
Epoch: 4, Train error: 0.08669, test error: 0.08360
Epoch: 5, Train error: 0.08576, test error: 0.08230
Epoch: 6, Train error: 0.08244, test error: 0.08000
Epoch: 7, Train error: 0.08173, test error: 0.07840
Epoch: 8, Train error: 0.08049, test error: 0.07900
Epoch: 9, Train error: 0.07989, test error: 0.08060
Epoch: 10, Train error: 0.08035, test error: 0.07770
Epoch: 11, Train error: 0.07833, test error: 0.07980
Epoch: 12, Train error: 0.07784, test error: 0.07760
Epoch: 13, Train error: 0.07640, test error: 0.07850
Epoch: 14, Train error: 0.07622, test error: 0.07670
Epoch: 15, Train error: 0.07613, test error: 0.07710
Epoch: 16, Train error: 0.07569, test error: 0.07620
Epoch: 17, Train error: 0.07531, test error: 0.07700
Epoch: 18, Train error: 0.07455, test error: 0.07540
Epoch: 19, Train error: 0.07418, test error: 0.07610
Epoch: 20, Train error: 0.07385, test error: 0.07730
Epoch: 21, Train error: 0.07429, test error: 0.07670
Epoch: 22, Train error: 0.07362, test error: 0.07790
Epoch: 23, Train error: 0.07327, test error: 0.07730
Epoch: 24, Train error: 0.07291, test error: 0.07760
Epoch: 25, Train error: 0.07309, test error: 0.07600
Epoch: 26, Train error: 0.07358, test error: 0.07680
Epoch: 27, Train error: 0.07213, test error: 0.07650
Epoch: 28, Train error: 0.07244, test error: 0.07600
Epoch: 29, Train error: 0.07204, test error: 0.07650
Epoch: 30, Train error: 0.07211, test error: 0.07740
Epoch: 31, Train error: 0.07196, test error: 0.07600
Epoch: 32, Train error: 0.07200, test error: 0.07590
Epoch: 33, Train error: 0.07105, test error: 0.07670
Epoch: 34, Train error: 0.07111, test error: 0.07590
Epoch: 35, Train error: 0.07131, test error: 0.07700
Epoch: 36, Train error: 0.07120, test error: 0.07810
Epoch: 37, Train error: 0.07116, test error: 0.07500
Epoch: 38, Train error: 0.07044, test error: 0.07480
Epoch: 39, Train error: 0.07158, test error: 0.07500
Epoch: 40, Train error: 0.07040, test error: 0.07520
Epoch: 41, Train error: 0.07115, test error: 0.07580
Epoch: 42, Train error: 0.07022, test error: 0.07600
Epoch: 43, Train error: 0.07018, test error: 0.07430
Epoch: 44, Train error: 0.06949, test error: 0.07470
Epoch: 45, Train error: 0.06965, test error: 0.07540
Epoch: 46, Train error: 0.06945, test error: 0.07520
Epoch: 47, Train error: 0.07022, test error: 0.07510
Epoch: 48, Train error: 0.06985, test error: 0.07440
Epoch: 49, Train error: 0.06922, test error: 0.07350
Epoch: 50, Train error: 0.06922, test error: 0.07620
Epoch: 51, Train error: 0.06889, test error: 0.07330
Epoch: 52, Train error: 0.06940, test error: 0.07390
Epoch: 53, Train error: 0.06949, test error: 0.07430
Epoch: 54, Train error: 0.06860, test error: 0.07340
Epoch: 55, Train error: 0.06873, test error: 0.07490
Epoch: 56, Train error: 0.06884, test error: 0.07320
Epoch: 57, Train error: 0.06829, test error: 0.07470
Epoch: 58, Train error: 0.06827, test error: 0.07360
Epoch: 59, Train error: 0.06895, test error: 0.07570
Epoch: 60, Train error: 0.06765, test error: 0.07380
Epoch: 61, Train error: 0.06876, test error: 0.07620
Epoch: 62, Train error: 0.06827, test error: 0.07460
Epoch: 63, Train error: 0.06860, test error: 0.07390
Epoch: 64, Train error: 0.06884, test error: 0.07590
Epoch: 65, Train error: 0.06809, test error: 0.07290
Epoch: 66, Train error: 0.06800, test error: 0.07440
Epoch: 67, Train error: 0.06785, test error: 0.07400
Epoch: 68, Train error: 0.06860, test error: 0.07630
Epoch: 69, Train error: 0.06747, test error: 0.07420
Epoch: 70, Train error: 0.06747, test error: 0.07400
Epoch: 71, Train error: 0.06735, test error: 0.07490
Epoch: 72, Train error: 0.06758, test error: 0.07380
Epoch: 73, Train error: 0.06793, test error: 0.07420
Epoch: 74, Train error: 0.06804, test error: 0.07490
Epoch: 75, Train error: 0.06724, test error: 0.07370
Epoch: 76, Train error: 0.06731, test error: 0.07410
Epoch: 77, Train error: 0.06705, test error: 0.07350
Epoch: 78, Train error: 0.06709, test error: 0.07410
Epoch: 79, Train error: 0.06771, test error: 0.07510
Epoch: 80, Train error: 0.06758, test error: 0.07380
Epoch: 81, Train error: 0.06713, test error: 0.07370
Epoch: 82, Train error: 0.06751, test error: 0.07350
Epoch: 83, Train error: 0.06776, test error: 0.07450
Epoch: 84, Train error: 0.06749, test error: 0.07360
Epoch: 85, Train error: 0.06705, test error: 0.07580
Epoch: 86, Train error: 0.06700, test error: 0.07460
Epoch: 87, Train error: 0.06644, test error: 0.07340
Epoch: 88, Train error: 0.06656, test error: 0.07410
Epoch: 89, Train error: 0.06636, test error: 0.07380
Epoch: 90, Train error: 0.06673, test error: 0.07390
Epoch: 91, Train error: 0.06684, test error: 0.07420
Epoch: 92, Train error: 0.06622, test error: 0.07320
Epoch: 93, Train error: 0.06682, test error: 0.07500
Epoch: 94, Train error: 0.06642, test error: 0.07330
Epoch: 95, Train error: 0.06658, test error: 0.07460
Epoch: 96, Train error: 0.06684, test error: 0.07350
Epoch: 97, Train error: 0.06678, test error: 0.07420
Epoch: 98, Train error: 0.06655, test error: 0.07460
Epoch: 99, Train error: 0.06724, test error: 0.07390
Epoch: 100, Train error: 0.06642, test error: 0.07430
Epoch: 101, Train error: 0.06591, test error: 0.07430
Epoch: 102, Train error: 0.06675, test error: 0.07450
Epoch: 103, Train error: 0.06633, test error: 0.07380
Epoch: 104, Train error: 0.06680, test error: 0.07500
Epoch: 105, Train error: 0.06627, test error: 0.07410
Epoch: 106, Train error: 0.06622, test error: 0.07370
Epoch: 107, Train error: 0.06604, test error: 0.07300
Plot model_2a.eps saved in image folder
Confusion matrix model_2a_confusion_matrix.eps saved in image folder
model_2a saved to ./../../save/np/model_2a.pickle
