Extracting ./../../data/train-images-idx3-ubyte.gz
Extracting ./../../data/train-labels-idx1-ubyte.gz
Extracting ./../../data/t10k-images-idx3-ubyte.gz
Extracting ./../../data/t10k-labels-idx1-ubyte.gz
Epoch: 1, Train error: 0.16507, test error: 0.15850
Epoch: 2, Train error: 0.13178, test error: 0.12250
Epoch: 3, Train error: 0.11722, test error: 0.10930
Epoch: 4, Train error: 0.10875, test error: 0.10060
Epoch: 5, Train error: 0.10360, test error: 0.09670
Epoch: 6, Train error: 0.10051, test error: 0.09230
Epoch: 7, Train error: 0.09647, test error: 0.09030
Epoch: 8, Train error: 0.09440, test error: 0.08640
Epoch: 9, Train error: 0.09175, test error: 0.08330
Epoch: 10, Train error: 0.08964, test error: 0.08240
Epoch: 11, Train error: 0.08849, test error: 0.08060
Epoch: 12, Train error: 0.08704, test error: 0.07950
Epoch: 13, Train error: 0.08544, test error: 0.07810
Epoch: 14, Train error: 0.08431, test error: 0.07820
Epoch: 15, Train error: 0.08275, test error: 0.07650
Epoch: 16, Train error: 0.08129, test error: 0.07590
Epoch: 17, Train error: 0.08105, test error: 0.07610
Epoch: 18, Train error: 0.08044, test error: 0.07730
Epoch: 19, Train error: 0.07909, test error: 0.07580
Epoch: 20, Train error: 0.07851, test error: 0.07510
Epoch: 21, Train error: 0.07749, test error: 0.07440
Epoch: 22, Train error: 0.07682, test error: 0.07480
Epoch: 23, Train error: 0.07718, test error: 0.07450
Epoch: 24, Train error: 0.07584, test error: 0.07370
Epoch: 25, Train error: 0.07613, test error: 0.07370
Epoch: 26, Train error: 0.07533, test error: 0.07350
Epoch: 27, Train error: 0.07464, test error: 0.07230
Epoch: 28, Train error: 0.07436, test error: 0.07240
Epoch: 29, Train error: 0.07362, test error: 0.07030
Epoch: 30, Train error: 0.07273, test error: 0.07190
Epoch: 31, Train error: 0.07235, test error: 0.07150
Epoch: 32, Train error: 0.07209, test error: 0.07150
Epoch: 33, Train error: 0.07160, test error: 0.07120
Epoch: 34, Train error: 0.07151, test error: 0.07110
Epoch: 35, Train error: 0.07107, test error: 0.07110
Epoch: 36, Train error: 0.07071, test error: 0.07080
Epoch: 37, Train error: 0.07044, test error: 0.07040
Epoch: 38, Train error: 0.06989, test error: 0.07030
Epoch: 39, Train error: 0.06980, test error: 0.07070
Epoch: 40, Train error: 0.06993, test error: 0.07100
