Extracting ./../../data/train-images-idx3-ubyte.gz
Extracting ./../../data/train-labels-idx1-ubyte.gz
Extracting ./../../data/t10k-images-idx3-ubyte.gz
Extracting ./../../data/t10k-labels-idx1-ubyte.gz
Epoch: 1, Train error: 0.15253, test error: 0.14430
Epoch: 2, Train error: 0.11860, test error: 0.11220
Epoch: 3, Train error: 0.10604, test error: 0.10060
Epoch: 4, Train error: 0.09702, test error: 0.09170
Epoch: 5, Train error: 0.09240, test error: 0.08640
Epoch: 6, Train error: 0.08864, test error: 0.08430
Epoch: 7, Train error: 0.08627, test error: 0.08100
Epoch: 8, Train error: 0.08342, test error: 0.08050
Epoch: 9, Train error: 0.08189, test error: 0.07750
Epoch: 10, Train error: 0.07893, test error: 0.07760
Epoch: 11, Train error: 0.07709, test error: 0.07470
Epoch: 12, Train error: 0.07595, test error: 0.07570
Epoch: 13, Train error: 0.07427, test error: 0.07490
Epoch: 14, Train error: 0.07422, test error: 0.07320
Epoch: 15, Train error: 0.07322, test error: 0.07260
Epoch: 16, Train error: 0.07189, test error: 0.07430
Epoch: 17, Train error: 0.06995, test error: 0.07180
Epoch: 18, Train error: 0.06938, test error: 0.07180
Epoch: 19, Train error: 0.06865, test error: 0.06970
Epoch: 20, Train error: 0.06747, test error: 0.07040
Epoch: 21, Train error: 0.06691, test error: 0.07010
Epoch: 22, Train error: 0.06598, test error: 0.06990
Epoch: 23, Train error: 0.06522, test error: 0.06790
Epoch: 24, Train error: 0.06427, test error: 0.06690
Epoch: 25, Train error: 0.06467, test error: 0.06730
Epoch: 26, Train error: 0.06318, test error: 0.06660
Epoch: 27, Train error: 0.06238, test error: 0.06610
Epoch: 28, Train error: 0.06173, test error: 0.06630
Epoch: 29, Train error: 0.06149, test error: 0.06410
Epoch: 30, Train error: 0.06082, test error: 0.06410
Epoch: 31, Train error: 0.06107, test error: 0.06510
Epoch: 32, Train error: 0.05985, test error: 0.06470
Epoch: 33, Train error: 0.05960, test error: 0.06380
Epoch: 34, Train error: 0.06011, test error: 0.06440
Epoch: 35, Train error: 0.05838, test error: 0.06330
Epoch: 36, Train error: 0.05909, test error: 0.06450
Epoch: 37, Train error: 0.05809, test error: 0.06340
Epoch: 38, Train error: 0.05809, test error: 0.06400
Epoch: 39, Train error: 0.05749, test error: 0.06350
Epoch: 40, Train error: 0.05733, test error: 0.06390
Epoch: 41, Train error: 0.05722, test error: 0.06330
Epoch: 42, Train error: 0.05584, test error: 0.06320
Epoch: 43, Train error: 0.05671, test error: 0.06240
Epoch: 44, Train error: 0.05491, test error: 0.06110
Epoch: 45, Train error: 0.05467, test error: 0.06200
Epoch: 46, Train error: 0.05556, test error: 0.06190
Epoch: 47, Train error: 0.05465, test error: 0.06200
Epoch: 48, Train error: 0.05480, test error: 0.06180
Epoch: 49, Train error: 0.05436, test error: 0.06120
Epoch: 50, Train error: 0.05413, test error: 0.06090
Epoch: 51, Train error: 0.05300, test error: 0.05990
Epoch: 52, Train error: 0.05307, test error: 0.06150
Epoch: 53, Train error: 0.05258, test error: 0.06000
Epoch: 54, Train error: 0.05291, test error: 0.06090
Epoch: 55, Train error: 0.05231, test error: 0.06070
Epoch: 56, Train error: 0.05191, test error: 0.06040
Epoch: 57, Train error: 0.05136, test error: 0.06020
Epoch: 58, Train error: 0.05145, test error: 0.05930
Epoch: 59, Train error: 0.05145, test error: 0.05940
Epoch: 60, Train error: 0.05089, test error: 0.06080
Epoch: 61, Train error: 0.05135, test error: 0.06030
Epoch: 62, Train error: 0.05096, test error: 0.06020
Epoch: 63, Train error: 0.04991, test error: 0.05820
Epoch: 64, Train error: 0.05160, test error: 0.06040
Epoch: 65, Train error: 0.05060, test error: 0.05970
Epoch: 66, Train error: 0.04995, test error: 0.06020
Epoch: 67, Train error: 0.04998, test error: 0.05860
Epoch: 68, Train error: 0.04958, test error: 0.05780
Epoch: 69, Train error: 0.05005, test error: 0.05960
Epoch: 70, Train error: 0.05038, test error: 0.06020
Epoch: 71, Train error: 0.04873, test error: 0.05930
Epoch: 72, Train error: 0.04931, test error: 0.05830
Epoch: 73, Train error: 0.04918, test error: 0.05780
Epoch: 74, Train error: 0.04862, test error: 0.05840
Epoch: 75, Train error: 0.04889, test error: 0.05940
Epoch: 76, Train error: 0.04824, test error: 0.05890
Epoch: 77, Train error: 0.05011, test error: 0.06110
Epoch: 78, Train error: 0.04795, test error: 0.05910
Epoch: 79, Train error: 0.04816, test error: 0.05870
Epoch: 80, Train error: 0.04713, test error: 0.05870
Epoch: 81, Train error: 0.04727, test error: 0.05770
Epoch: 82, Train error: 0.04716, test error: 0.05800
Epoch: 83, Train error: 0.04760, test error: 0.05960
Epoch: 84, Train error: 0.04687, test error: 0.05600
Epoch: 85, Train error: 0.04716, test error: 0.05750
Epoch: 86, Train error: 0.04653, test error: 0.05820
Epoch: 87, Train error: 0.04655, test error: 0.05770
Epoch: 88, Train error: 0.04580, test error: 0.05660
Epoch: 89, Train error: 0.04625, test error: 0.05680
Epoch: 90, Train error: 0.04584, test error: 0.05840
Epoch: 91, Train error: 0.04589, test error: 0.05810
Epoch: 92, Train error: 0.04585, test error: 0.05680
Epoch: 93, Train error: 0.04556, test error: 0.05740
Epoch: 94, Train error: 0.04589, test error: 0.05710
Epoch: 95, Train error: 0.04585, test error: 0.05830
Epoch: 96, Train error: 0.04553, test error: 0.05690
Epoch: 97, Train error: 0.04556, test error: 0.05730
Epoch: 98, Train error: 0.04649, test error: 0.05940
Epoch: 99, Train error: 0.04533, test error: 0.05670
Epoch: 100, Train error: 0.04529, test error: 0.05880
Epoch: 101, Train error: 0.04555, test error: 0.05810
Epoch: 102, Train error: 0.04540, test error: 0.05670
Epoch: 103, Train error: 0.04444, test error: 0.05830
Epoch: 104, Train error: 0.04509, test error: 0.05760
Epoch: 105, Train error: 0.04378, test error: 0.05610
Epoch: 106, Train error: 0.04491, test error: 0.05780
Epoch: 107, Train error: 0.04560, test error: 0.05890
Epoch: 108, Train error: 0.04415, test error: 0.05830
Epoch: 109, Train error: 0.04365, test error: 0.05670
Epoch: 110, Train error: 0.04509, test error: 0.05650
Epoch: 111, Train error: 0.04360, test error: 0.05630
Epoch: 112, Train error: 0.04378, test error: 0.05640
Epoch: 113, Train error: 0.04333, test error: 0.05670
Epoch: 114, Train error: 0.04342, test error: 0.05620
Epoch: 115, Train error: 0.04280, test error: 0.05570
Epoch: 116, Train error: 0.04436, test error: 0.05810
Epoch: 117, Train error: 0.04235, test error: 0.05590
Epoch: 118, Train error: 0.04422, test error: 0.05740
Epoch: 119, Train error: 0.04316, test error: 0.05580
Epoch: 120, Train error: 0.04296, test error: 0.05780
Epoch: 121, Train error: 0.04293, test error: 0.05730
Epoch: 122, Train error: 0.04333, test error: 0.05750
Epoch: 123, Train error: 0.04367, test error: 0.05730
Epoch: 124, Train error: 0.04289, test error: 0.05620
Epoch: 125, Train error: 0.04200, test error: 0.05690
Epoch: 126, Train error: 0.04178, test error: 0.05470
Epoch: 127, Train error: 0.04125, test error: 0.05670
Epoch: 128, Train error: 0.04675, test error: 0.05890
Epoch: 129, Train error: 0.04131, test error: 0.05690
Epoch: 130, Train error: 0.04271, test error: 0.05640
Epoch: 131, Train error: 0.04160, test error: 0.05640
Epoch: 132, Train error: 0.04175, test error: 0.05490
Epoch: 133, Train error: 0.04076, test error: 0.05600
Epoch: 134, Train error: 0.04102, test error: 0.05560
Epoch: 135, Train error: 0.04293, test error: 0.05660
Epoch: 136, Train error: 0.04169, test error: 0.05510
Epoch: 137, Train error: 0.04244, test error: 0.05760
Epoch: 138, Train error: 0.04093, test error: 0.05620
Epoch: 139, Train error: 0.04122, test error: 0.05510
Epoch: 140, Train error: 0.04458, test error: 0.05790
Epoch: 141, Train error: 0.04136, test error: 0.05640
Epoch: 142, Train error: 0.04180, test error: 0.05640
Epoch: 143, Train error: 0.04080, test error: 0.05570
Epoch: 144, Train error: 0.04311, test error: 0.05890
Epoch: 145, Train error: 0.04029, test error: 0.05560
Epoch: 146, Train error: 0.04078, test error: 0.05460
Epoch: 147, Train error: 0.04035, test error: 0.05570
Epoch: 148, Train error: 0.04033, test error: 0.05580
Epoch: 149, Train error: 0.03964, test error: 0.05540
Epoch: 150, Train error: 0.03985, test error: 0.05610
Epoch: 151, Train error: 0.04078, test error: 0.05540
Epoch: 152, Train error: 0.03940, test error: 0.05480
Epoch: 153, Train error: 0.03991, test error: 0.05460
Epoch: 154, Train error: 0.04131, test error: 0.05530
Epoch: 155, Train error: 0.04078, test error: 0.05500
Epoch: 156, Train error: 0.04018, test error: 0.05530
Epoch: 157, Train error: 0.03998, test error: 0.05340
Epoch: 158, Train error: 0.03973, test error: 0.05440
Epoch: 159, Train error: 0.04002, test error: 0.05650
Epoch: 160, Train error: 0.04415, test error: 0.05700
Epoch: 161, Train error: 0.03998, test error: 0.05500
Epoch: 162, Train error: 0.04038, test error: 0.05520
Epoch: 163, Train error: 0.03984, test error: 0.05500
Epoch: 164, Train error: 0.03938, test error: 0.05500
Epoch: 165, Train error: 0.04162, test error: 0.05560
Epoch: 166, Train error: 0.03938, test error: 0.05480
Epoch: 167, Train error: 0.03951, test error: 0.05510
Epoch: 168, Train error: 0.04080, test error: 0.05420
Epoch: 169, Train error: 0.04067, test error: 0.05520
Epoch: 170, Train error: 0.03978, test error: 0.05510
Epoch: 171, Train error: 0.04027, test error: 0.05600
Epoch: 172, Train error: 0.03949, test error: 0.05460
Epoch: 173, Train error: 0.04038, test error: 0.05590
Epoch: 174, Train error: 0.03989, test error: 0.05550
Epoch: 175, Train error: 0.03933, test error: 0.05550
Plot model_2c.eps saved in image folder
Confusion matrix model_2c_confusion_matrix.eps saved in image folder
model_2c saved to ./../../save/np/model_2c.pickle
