Epoch: 1, Train error: 0.08809, Test error: 0.07890
Epoch: 2, Train error: 0.04680, Test error: 0.04010
Epoch: 3, Train error: 0.03102, Test error: 0.02960
Epoch: 4, Train error: 0.02504, Test error: 0.02430
Epoch: 5, Train error: 0.02236, Test error: 0.02230
Epoch: 6, Train error: 0.01991, Test error: 0.02050
Epoch: 7, Train error: 0.01978, Test error: 0.02060
Epoch: 8, Train error: 0.01780, Test error: 0.01820
Epoch: 9, Train error: 0.01973, Test error: 0.02090
Epoch: 10, Train error: 0.01562, Test error: 0.01820
Epoch: 11, Train error: 0.01549, Test error: 0.01910
Epoch: 12, Train error: 0.01367, Test error: 0.01800
Epoch: 13, Train error: 0.01782, Test error: 0.01840
Epoch: 14, Train error: 0.01325, Test error: 0.01580
Epoch: 15, Train error: 0.01309, Test error: 0.01710
Epoch: 16, Train error: 0.01635, Test error: 0.01710
Epoch: 17, Train error: 0.01127, Test error: 0.01570
Epoch: 18, Train error: 0.01184, Test error: 0.01700
Epoch: 19, Train error: 0.01149, Test error: 0.01500
Epoch: 20, Train error: 0.01229, Test error: 0.01540
Epoch: 21, Train error: 0.01065, Test error: 0.01670
Epoch: 22, Train error: 0.01011, Test error: 0.01360
Epoch: 23, Train error: 0.01169, Test error: 0.01620
Epoch: 24, Train error: 0.00891, Test error: 0.01550
Epoch: 25, Train error: 0.01036, Test error: 0.01630
Epoch: 26, Train error: 0.01018, Test error: 0.01790
Epoch: 27, Train error: 0.00958, Test error: 0.01660
Epoch: 28, Train error: 0.01213, Test error: 0.01960
Epoch: 29, Train error: 0.00865, Test error: 0.01570
Epoch: 30, Train error: 0.00840, Test error: 0.01440
Epoch: 31, Train error: 0.00753, Test error: 0.01530
Epoch: 32, Train error: 0.00858, Test error: 0.01460
Epoch: 33, Train error: 0.00775, Test error: 0.01510
Epoch: 34, Train error: 0.00745, Test error: 0.01440
Epoch: 35, Train error: 0.00795, Test error: 0.01380
Epoch: 36, Train error: 0.00669, Test error: 0.01490
Epoch: 37, Train error: 0.00611, Test error: 0.01450
Epoch: 38, Train error: 0.00993, Test error: 0.01910
Epoch: 39, Train error: 0.00856, Test error: 0.01580
Epoch: 40, Train error: 0.00600, Test error: 0.01270
Epoch: 41, Train error: 0.00596, Test error: 0.01460
Epoch: 42, Train error: 0.00825, Test error: 0.01560
Epoch: 43, Train error: 0.00580, Test error: 0.01430
Epoch: 44, Train error: 0.00985, Test error: 0.01720
Epoch: 45, Train error: 0.00567, Test error: 0.01380
Epoch: 46, Train error: 0.00535, Test error: 0.01400
Epoch: 47, Train error: 0.00527, Test error: 0.01460
Epoch: 48, Train error: 0.00747, Test error: 0.01570
Epoch: 49, Train error: 0.00522, Test error: 0.01360
Epoch: 50, Train error: 0.00520, Test error: 0.01370
Epoch: 51, Train error: 0.00547, Test error: 0.01550
Epoch: 52, Train error: 0.00400, Test error: 0.01400
Epoch: 53, Train error: 0.00707, Test error: 0.01400
