Epoch: 1, Train error: 0.16507, test error: 0.15850
Epoch: 10, Train error: 0.08964, test error: 0.08240
Epoch: 20, Train error: 0.07851, test error: 0.07510
Epoch: 30, Train error: 0.07273, test error: 0.07190
Epoch: 40, Train error: 0.06993, test error: 0.07100
Epoch: 50, Train error: 0.06711, test error: 0.06900
Epoch: 60, Train error: 0.06475, test error: 0.06810
Epoch: 70, Train error: 0.06269, test error: 0.06730
Epoch: 80, Train error: 0.06167, test error: 0.06680
Epoch: 90, Train error: 0.05971, test error: 0.06510
Epoch: 100, Train error: 0.05869, test error: 0.06530
Epoch: 110, Train error: 0.05773, test error: 0.06430
Epoch: 120, Train error: 0.05675, test error: 0.06280
Epoch: 130, Train error: 0.05598, test error: 0.06320
Epoch: 140, Train error: 0.05525, test error: 0.06340
Epoch: 150, Train error: 0.05431, test error: 0.06260
Epoch: 160, Train error: 0.05411, test error: 0.06300
Epoch: 170, Train error: 0.05296, test error: 0.06280
Epoch: 180, Train error: 0.05264, test error: 0.06240
Epoch: 190, Train error: 0.05204, test error: 0.06280
Epoch: 200, Train error: 0.05200, test error: 0.06260
Epoch: 210, Train error: 0.05158, test error: 0.06250
Epoch: 220, Train error: 0.05131, test error: 0.06300
Epoch: 230, Train error: 0.05131, test error: 0.06360
Epoch: 240, Train error: 0.04993, test error: 0.06150
Epoch: 250, Train error: 0.05033, test error: 0.06260
Epoch: 260, Train error: 0.04982, test error: 0.06080
Epoch: 270, Train error: 0.04911, test error: 0.06150
Epoch: 280, Train error: 0.04911, test error: 0.06280
Epoch: 281, Train error: 0.04887, test error: 0.06150
