Epoch: 1, Train error: 0.15253, test error: 0.14430
Epoch: 10, Train error: 0.07893, test error: 0.07760
Epoch: 20, Train error: 0.06747, test error: 0.07040
Epoch: 30, Train error: 0.06082, test error: 0.06410
Epoch: 40, Train error: 0.05733, test error: 0.06390
Epoch: 50, Train error: 0.05413, test error: 0.06090
Epoch: 60, Train error: 0.05089, test error: 0.06080
Epoch: 70, Train error: 0.05038, test error: 0.06020
Epoch: 80, Train error: 0.04713, test error: 0.05870
Epoch: 90, Train error: 0.04584, test error: 0.05840
Epoch: 100, Train error: 0.04529, test error: 0.05880
Epoch: 110, Train error: 0.04509, test error: 0.05650
Epoch: 120, Train error: 0.04296, test error: 0.05780
Epoch: 130, Train error: 0.04271, test error: 0.05640
Epoch: 140, Train error: 0.04458, test error: 0.05790
Epoch: 150, Train error: 0.03985, test error: 0.05610
Epoch: 160, Train error: 0.04415, test error: 0.05700
Epoch: 170, Train error: 0.03978, test error: 0.05510
Epoch: 175, Train error: 0.03933, test error: 0.05550
