Index 0. Cross entropy, ground truth: 0.457863086462, predicted: 0.162606050074
Index 1. Cross entropy, ground truth: 0.0690256211907, predicted: 0.0843981865793
Index 2. Cross entropy, ground truth: 0.618391358852, predicted: 0.148315298557
Index 3. Cross entropy, ground truth: 0.432960170507, predicted: 0.201876059175
Index 4. Cross entropy, ground truth: 0.094863704592, predicted: 0.112464156747
Index 5. Cross entropy, ground truth: 0.169391156733, predicted: 0.266574975103
Index 6. Cross entropy, ground truth: 0.0453007854521, predicted: 0.0935233980417
Index 7. Cross entropy, ground truth: 0.136153212935, predicted: 0.230241961777
Index 8. Cross entropy, ground truth: 0.149822050333, predicted: 0.174444136024
Index 9. Cross entropy, ground truth: 0.013063813746, predicted: 0.0370827442035
Index 10. Cross entropy, ground truth: 0.194210682809, predicted: 0.15124425739
Index 11. Cross entropy, ground truth: 0.24520762451, predicted: 0.290055699646
Index 12. Cross entropy, ground truth: 0.229629707336, predicted: 0.0939435184002
Index 13. Cross entropy, ground truth: 0.297198282182, predicted: 0.133113625646
Index 14. Cross entropy, ground truth: 0.495868968964, predicted: 0.201912601292
Index 15. Cross entropy, ground truth: 0.158171108365, predicted: 0.145140498877
Index 16. Cross entropy, ground truth: 0.642669987679, predicted: 0.392082217336
Index 17. Cross entropy, ground truth: 0.31356125921, predicted: 0.34344163239
Index 18. Cross entropy, ground truth: 0.625766569376, predicted: 0.311318029463
Index 19. Cross entropy, ground truth: 0.0389868989587, predicted: 0.114710797369
Index 20. Cross entropy, ground truth: 0.386826133728, predicted: 0.0866463899612
Index 21. Cross entropy, ground truth: 0.0219129869714, predicted: 0.0679976671934
Index 22. Cross entropy, ground truth: 0.120620116591, predicted: 0.0996269345284
Index 23. Cross entropy, ground truth: 0.047017608583, predicted: 0.0691247478127
Index 24. Cross entropy, ground truth: 0.125273236632, predicted: 0.191005022824
Index 25. Cross entropy, ground truth: 0.0725406073034, predicted: 0.118557631969
Index 26. Cross entropy, ground truth: 0.835725653172, predicted: 0.362228249013
Index 27. Cross entropy, ground truth: 0.570052593946, predicted: 0.191454493999
Index 28. Cross entropy, ground truth: 0.461862893403, predicted: 0.363078853488
Index 29. Cross entropy, ground truth: 0.681077136099, predicted: 0.348872935772
Index 30. Cross entropy, ground truth: 0.984753483534, predicted: 0.249460840598
Index 31. Cross entropy, ground truth: 0.361719954014, predicted: 0.355319026113
Index 32. Cross entropy, ground truth: 0.367215321958, predicted: 0.311980329454
Index 33. Cross entropy, ground truth: 0.0226639600471, predicted: 0.103459872678
Index 34. Cross entropy, ground truth: 0.11147653237, predicted: 0.198241110146
Index 35. Cross entropy, ground truth: 0.102020560391, predicted: 0.105223720521
Index 36. Cross entropy, ground truth: 0.134224069118, predicted: 0.1444727391
Index 37. Cross entropy, ground truth: 0.174834754318, predicted: 0.263093810529
Index 38. Cross entropy, ground truth: 0.591808697581, predicted: 0.276081840694
Index 39. Cross entropy, ground truth: 0.0352022666484, predicted: 0.0666013419628
Index 40. Cross entropy, ground truth: 0.0175126235001, predicted: 0.040425600484
Index 41. Cross entropy, ground truth: 0.352187755704, predicted: 0.268343764544
Index 42. Cross entropy, ground truth: 0.00991289503872, predicted: 0.00991289503872
Index 43. Cross entropy, ground truth: 0.267139272392, predicted: 0.34559391886
Index 44. Cross entropy, ground truth: 0.417664361, predicted: 0.182014595717
Index 45. Cross entropy, ground truth: 0.0881027474999, predicted: 0.0694172278047
Index 46. Cross entropy, ground truth: 0.643624669313, predicted: 0.172247210145
Index 47. Cross entropy, ground truth: 0.336479493976, predicted: 0.254727280885
Index 48. Cross entropy, ground truth: 0.206060685217, predicted: 0.213147418201
Index 49. Cross entropy, ground truth: 0.340067455173, predicted: 0.137412971258
Index 50. Cross entropy, ground truth: 0.114218056202, predicted: 0.172997677699
Index 51. Cross entropy, ground truth: 0.191615377367, predicted: 0.10792247951
Index 52. Cross entropy, ground truth: 0.734049794078, predicted: 0.38872294724
Index 53. Cross entropy, ground truth: 0.27293215245, predicted: 0.0445309998468
Index 54. Cross entropy, ground truth: 0.116683774441, predicted: 0.101869671792
Index 55. Cross entropy, ground truth: 0.226315748692, predicted: 0.118344573677
Index 56. Cross entropy, ground truth: 0.0837319239974, predicted: 0.0698726795614
Index 57. Cross entropy, ground truth: 1.09892682433, predicted: 0.317584569752
Index 58. Cross entropy, ground truth: 0.143133933097, predicted: 0.249221079051
Index 59. Cross entropy, ground truth: 0.0433853060007, predicted: 0.10125387013
Index 60. Cross entropy, ground truth: 0.0263496251777, predicted: 0.0485947340727
Index 61. Cross entropy, ground truth: 0.0668731175363, predicted: 0.116669175029
Index 62. Cross entropy, ground truth: 0.242640281469, predicted: 0.251443646848
Index 63. Cross entropy, ground truth: 0.60304864347, predicted: 0.365550616384
Index 64. Cross entropy, ground truth: 0.368882974982, predicted: 0.250929614902
Index 65. Cross entropy, ground truth: 0.35157251358, predicted: 0.00419045891613
Index 66. Cross entropy, ground truth: 0.179771101475, predicted: 0.134061156213
Index 67. Cross entropy, ground truth: 0.00974950939417, predicted: 0.00974950939417
Index 68. Cross entropy, ground truth: 0.15658031404, predicted: 0.0817049987614
Index 69. Cross entropy, ground truth: 0.0229123283178, predicted: 0.139596719295
Index 70. Cross entropy, ground truth: 0.319881394506, predicted: 0.133933821321
Index 71. Cross entropy, ground truth: 0.283797367662, predicted: 0.178281483054
Index 72. Cross entropy, ground truth: 0.841018605232, predicted: 0.218855430931
Index 73. Cross entropy, ground truth: 0.140378777683, predicted: 0.219419293851
Index 74. Cross entropy, ground truth: 0.865653079748, predicted: 0.320842865109
Index 75. Cross entropy, ground truth: 0.482721972466, predicted: 0.151507556066
Index 76. Cross entropy, ground truth: 0.693264478445, predicted: 0.229558192194
