Index 0. Cross entropy, ground truth: 0.789369612932, predicted: 0.0886642385274
Index 1. Cross entropy, ground truth: 0.811635750532, predicted: 0.110756132007
Index 2. Cross entropy, ground truth: 0.565399253368, predicted: 0.051920543611
Index 3. Cross entropy, ground truth: 0.822847384214, predicted: 0.106903354079
Index 4. Cross entropy, ground truth: 0.41890765056, predicted: 0.0611065231264
Index 5. Cross entropy, ground truth: 0.957360711694, predicted: 0.0751082681119
Index 6. Cross entropy, ground truth: 0.213650323823, predicted: 0.036231022235
Index 7. Cross entropy, ground truth: 0.755915409327, predicted: 0.0700727399439
Index 8. Cross entropy, ground truth: 0.63906313926, predicted: 0.110069687665
Index 9. Cross entropy, ground truth: 0.45272737816, predicted: 0.0451592799276
Index 10. Cross entropy, ground truth: 0.725884750485, predicted: 0.0993739144877
Index 11. Cross entropy, ground truth: 0.379630757868, predicted: 0.0581611283123
Index 12. Cross entropy, ground truth: 1.25021218956, predicted: 0.0917730025947
Index 13. Cross entropy, ground truth: 1.36568207741, predicted: 0.079815698415
Index 14. Cross entropy, ground truth: 0.684032341838, predicted: 0.0563836321235
Index 15. Cross entropy, ground truth: 0.833863383532, predicted: 0.0978018913418
Index 16. Cross entropy, ground truth: 0.778288143873, predicted: 0.0915360495448
Index 17. Cross entropy, ground truth: 0.44029501304, predicted: 0.0640690498054
Index 18. Cross entropy, ground truth: 0.459460066259, predicted: 0.0478043591604
Index 19. Cross entropy, ground truth: 0.760763174295, predicted: 0.0834091886878
Index 20. Cross entropy, ground truth: 0.350553201139, predicted: 0.0578512275591
Index 21. Cross entropy, ground truth: 1.04648133516, predicted: 0.0706578716636
Index 22. Cross entropy, ground truth: 1.16250772476, predicted: 0.128540821373
Index 23. Cross entropy, ground truth: 0.607075022906, predicted: 0.0838826835155
Index 24. Cross entropy, ground truth: 0.598066915572, predicted: 0.0716108407825
Index 25. Cross entropy, ground truth: 0.377601224184, predicted: 0.0645958323032
Index 26. Cross entropy, ground truth: 0.414525462314, predicted: 0.068333883211
Index 27. Cross entropy, ground truth: 1.02444604337, predicted: 0.0960639555007
Index 28. Cross entropy, ground truth: 0.671456733346, predicted: 0.0750446442515
Index 29. Cross entropy, ground truth: 0.40282087326, predicted: 0.0534049273469
Index 30. Cross entropy, ground truth: 0.965539056063, predicted: 0.120895367861
Index 31. Cross entropy, ground truth: 0.46436105147, predicted: 0.0839419614524
Index 32. Cross entropy, ground truth: 0.711353980005, predicted: 0.0815597850829
Index 33. Cross entropy, ground truth: 0.580779113621, predicted: 0.0801687154919
Index 34. Cross entropy, ground truth: 0.296153956652, predicted: 0.0513155374676
Index 35. Cross entropy, ground truth: 0.626267814636, predicted: 0.0883954439312
Index 36. Cross entropy, ground truth: 0.339476514608, predicted: 0.0554063040763
Index 37. Cross entropy, ground truth: 1.15249539316, predicted: 0.107137015462
Index 38. Cross entropy, ground truth: 0.513831108809, predicted: 0.0846225880086
Index 39. Cross entropy, ground truth: 0.712145096064, predicted: 0.0814572568983
Index 40. Cross entropy, ground truth: 1.55531765223, predicted: 0.118655258045
Index 41. Cross entropy, ground truth: 0.523047365248, predicted: 0.0660022053868
Index 42. Cross entropy, ground truth: 0.693729943037, predicted: 0.0666903242469
Index 43. Cross entropy, ground truth: 0.840214425325, predicted: 0.0523228704929
Index 44. Cross entropy, ground truth: 0.463348446786, predicted: 0.0850284919143
Index 45. Cross entropy, ground truth: 0.530062734708, predicted: 0.0908175595105
Index 46. Cross entropy, ground truth: 0.71966458559, predicted: 0.0412183774635
Index 47. Cross entropy, ground truth: 1.19237644076, predicted: 0.0758504573256
Index 48. Cross entropy, ground truth: 0.612213240936, predicted: 0.0614879321307
Index 49. Cross entropy, ground truth: 0.689000463486, predicted: 0.0706734143198
Index 50. Cross entropy, ground truth: 0.449821485579, predicted: 0.0600551174022
Index 51. Cross entropy, ground truth: 0.630404925346, predicted: 0.105041823536
Index 52. Cross entropy, ground truth: 0.758996245265, predicted: 0.0322342447471
Index 53. Cross entropy, ground truth: 1.07678247392, predicted: 0.0982775196433
Index 54. Cross entropy, ground truth: 0.423605756462, predicted: 0.0689557913691
Index 55. Cross entropy, ground truth: 0.871471390128, predicted: 0.098194436729
Index 56. Cross entropy, ground truth: 0.812403482199, predicted: 0.076783311367
Index 57. Cross entropy, ground truth: 0.834210044146, predicted: 0.0363007680513
Index 58. Cross entropy, ground truth: 0.557198280096, predicted: 0.089065117389
Index 59. Cross entropy, ground truth: 0.229757528938, predicted: 0.0489423569292
Index 60. Cross entropy, ground truth: 0.467416609824, predicted: 0.0646247267723
Index 61. Cross entropy, ground truth: 0.466250971705, predicted: 0.0729621071368
Index 62. Cross entropy, ground truth: 0.813080358505, predicted: 0.0354027187452
Index 63. Cross entropy, ground truth: 0.589022710919, predicted: 0.0903742566705
Index 64. Cross entropy, ground truth: 0.714871650934, predicted: 0.0519945511594
Index 65. Cross entropy, ground truth: 1.59110995531, predicted: 0.0726346284151
Index 66. Cross entropy, ground truth: 0.176527342945, predicted: 0.0310164215975
Index 67. Cross entropy, ground truth: 1.27510793507, predicted: 0.0867407746613
Index 68. Cross entropy, ground truth: 0.71614715457, predicted: 0.0822083834559
Index 69. Cross entropy, ground truth: 0.313689839095, predicted: 0.0363705575466
Index 70. Cross entropy, ground truth: 0.649414858222, predicted: 0.0821073584259
Index 71. Cross entropy, ground truth: 0.303511620313, predicted: 0.0549307715148
Index 72. Cross entropy, ground truth: 0.945869767666, predicted: 0.083377016522
Index 73. Cross entropy, ground truth: 0.408956892788, predicted: 0.0647402763367
Index 74. Cross entropy, ground truth: 0.60642003864, predicted: 0.0748563336208
Index 75. Cross entropy, ground truth: 0.775585159659, predicted: 0.0926964499056
Index 76. Cross entropy, ground truth: 0.580251151323, predicted: 0.0789294756949
Index 77. Cross entropy, ground truth: 1.14676198363, predicted: 0.0683547001332
Index 78. Cross entropy, ground truth: 0.340534429997, predicted: 0.0609043527395
Index 79. Cross entropy, ground truth: 0.594046738744, predicted: 0.0580477133393
Index 80. Cross entropy, ground truth: 0.403392651677, predicted: 0.0571681546047
Index 81. Cross entropy, ground truth: 0.175300720707, predicted: 0.0369146315381
Index 82. Cross entropy, ground truth: 0.694248914719, predicted: 0.0854376804084
Index 83. Cross entropy, ground truth: 0.819925996661, predicted: 0.0543496323749
Index 84. Cross entropy, ground truth: 0.410095743835, predicted: 0.0559018332511
Index 85. Cross entropy, ground truth: 0.95059260726, predicted: 0.0381324151531
Index 86. Cross entropy, ground truth: 0.79301379025, predicted: 0.100552234054
Index 87. Cross entropy, ground truth: 1.16897462606, predicted: 0.112473987788
Index 88. Cross entropy, ground truth: 0.92712162137, predicted: 0.065561908856
Index 89. Cross entropy, ground truth: 0.800677087903, predicted: 0.0873184952885
Index 90. Cross entropy, ground truth: 1.3175122112, predicted: 0.100984346867
Index 91. Cross entropy, ground truth: 0.616733410954, predicted: 0.0678099393845
Index 92. Cross entropy, ground truth: 0.817449727654, predicted: 0.0739318517968
Index 93. Cross entropy, ground truth: 0.82778288722, predicted: 0.0565557159483
Index 94. Cross entropy, ground truth: 0.849319392443, predicted: 0.0708680879325
Index 95. Cross entropy, ground truth: 0.543075460196, predicted: 0.0507841149345
Index 96. Cross entropy, ground truth: 0.458829399943, predicted: 0.0516683723778
Index 97. Cross entropy, ground truth: 0.644434225559, predicted: 0.101209648699
Index 98. Cross entropy, ground truth: 0.430692698061, predicted: 0.0500169977546
Index 99. Cross entropy, ground truth: 0.565490166843, predicted: 0.06293868348
Average cross entropy, ground truth: 0.692757935537, predicted: 0.0729745605183
