Index 0. Cross entropy, ground truth: 0.00209150719456, predicted: 0.00209150719456
Index 1. Cross entropy, ground truth: 0.532981395721, predicted: 0.708466291428
Index 2. Cross entropy, ground truth: 0.0089207040146, predicted: 0.0089207040146
Index 3. Cross entropy, ground truth: 0.0303603745997, predicted: 0.378300208226
Index 4. Cross entropy, ground truth: 0.000983483274467, predicted: 0.000983483274467
Index 5. Cross entropy, ground truth: 0.0151685699821, predicted: 0.0151685699821
Index 6. Cross entropy, ground truth: 0.000358526594937, predicted: 0.000358526594937
Index 7. Cross entropy, ground truth: 0.102462790906, predicted: 0.102462790906
Index 8. Cross entropy, ground truth: 0.00332472473383, predicted: 0.00332472473383
Index 9. Cross entropy, ground truth: 0.144924193621, predicted: 0.330744937062
Index 10. Cross entropy, ground truth: 0.00051141937729, predicted: 0.00051141937729
Index 11. Cross entropy, ground truth: 0.0020208498463, predicted: 0.0020208498463
Index 12. Cross entropy, ground truth: 0.00230117957108, predicted: 0.00230117957108
Index 13. Cross entropy, ground truth: 0.00236414954998, predicted: 0.00236414954998
Index 14. Cross entropy, ground truth: 0.000592884316575, predicted: 0.000592884316575
Index 15. Cross entropy, ground truth: 0.0135985743254, predicted: 0.0135985743254
Index 16. Cross entropy, ground truth: 0.0117360893637, predicted: 0.0117360893637
Index 17. Cross entropy, ground truth: 0.00278227776289, predicted: 0.00278227776289
Index 18. Cross entropy, ground truth: 0.0670973211527, predicted: 0.0670973211527
Index 19. Cross entropy, ground truth: 0.00321714463644, predicted: 0.00321714463644
Index 20. Cross entropy, ground truth: 0.0266769584268, predicted: 0.0266769584268
Index 21. Cross entropy, ground truth: 0.00313707999885, predicted: 0.00313707999885
Index 22. Cross entropy, ground truth: 0.000684674479999, predicted: 0.000684674479999
Index 23. Cross entropy, ground truth: 0.00749072572216, predicted: 0.00749072572216
Index 24. Cross entropy, ground truth: 0.00523456651717, predicted: 0.00523456651717
Index 25. Cross entropy, ground truth: 0.0010619435925, predicted: 0.0010619435925
Index 26. Cross entropy, ground truth: 0.669569969177, predicted: 0.683887118101
Index 27. Cross entropy, ground truth: 1.25678443909, predicted: 0.519251418114
Index 28. Cross entropy, ground truth: 0.328778505325, predicted: 0.517474865913
Index 29. Cross entropy, ground truth: 0.0034779519774, predicted: 0.0034779519774
Index 30. Cross entropy, ground truth: 0.00252499803901, predicted: 0.00252499803901
Index 31. Cross entropy, ground truth: 0.00361941824667, predicted: 0.00361941824667
Index 32. Cross entropy, ground truth: 0.0169169418514, predicted: 0.0169169418514
Index 33. Cross entropy, ground truth: 0.0018346440047, predicted: 0.0018346440047
Index 34. Cross entropy, ground truth: 0.605018615723, predicted: 0.734365284443
Index 35. Cross entropy, ground truth: 0.00667068036273, predicted: 0.00667068036273
Index 36. Cross entropy, ground truth: 0.0071357563138, predicted: 0.0071357563138
Index 37. Cross entropy, ground truth: 1.42921411991, predicted: 0.504863071442
Index 38. Cross entropy, ground truth: 0.00316751445644, predicted: 0.00316751445644
Index 39. Cross entropy, ground truth: 0.00878732465208, predicted: 0.00878732465208
Index 40. Cross entropy, ground truth: 0.137912347913, predicted: 0.137912347913
Index 41. Cross entropy, ground truth: 0.214537471533, predicted: 0.357545980811
Index 42. Cross entropy, ground truth: 0.000927282031626, predicted: 0.000927282031626
Index 43. Cross entropy, ground truth: 0.0298053994775, predicted: 0.0298053994775
Index 44. Cross entropy, ground truth: 0.460154205561, predicted: 0.567616093159
Index 45. Cross entropy, ground truth: 0.00285693421029, predicted: 0.00285693421029
Index 46. Cross entropy, ground truth: 0.00107882975135, predicted: 0.00107882975135
Index 47. Cross entropy, ground truth: 0.0553393512964, predicted: 0.0553393512964
Index 48. Cross entropy, ground truth: 0.00203673681244, predicted: 0.00203673681244
Index 49. Cross entropy, ground truth: 0.209560155869, predicted: 0.646400737762
Index 50. Cross entropy, ground truth: 0.0131881609559, predicted: 0.44537158981
Index 51. Cross entropy, ground truth: 0.00697866640985, predicted: 0.503119274043
Index 52. Cross entropy, ground truth: 0.559601664543, predicted: 0.67468764782
Index 53. Cross entropy, ground truth: 0.00330750155263, predicted: 0.00330750155263
Index 54. Cross entropy, ground truth: 0.00279584596865, predicted: 0.00279584596865
Index 55. Cross entropy, ground truth: 0.00352921243757, predicted: 0.00352921243757
Index 56. Cross entropy, ground truth: 0.00659387884662, predicted: 0.00659387884662
Index 57. Cross entropy, ground truth: 1.77738845348, predicted: 0.503654253483
Index 58. Cross entropy, ground truth: 0.0541344583035, predicted: 0.0541344583035
Index 59. Cross entropy, ground truth: 0.00245819380507, predicted: 0.00245819380507
Index 60. Cross entropy, ground truth: 0.00442965980619, predicted: 0.00442965980619
Index 61. Cross entropy, ground truth: 0.00346628879197, predicted: 0.00346628879197
Index 62. Cross entropy, ground truth: 0.0078630624339, predicted: 0.0078630624339
Index 63. Cross entropy, ground truth: 0.320004940033, predicted: 0.612550902367
Index 64. Cross entropy, ground truth: 0.000998578150757, predicted: 0.000998578150757
Index 65. Cross entropy, ground truth: 3.01970887184, predicted: 0.347013327107
Index 66. Cross entropy, ground truth: 0.000740623509046, predicted: 0.000740623509046
Index 67. Cross entropy, ground truth: 0.0580649338663, predicted: 0.339766975865
Index 68. Cross entropy, ground truth: 0.00381636759266, predicted: 0.00381636759266
Index 69. Cross entropy, ground truth: 0.00104959239252, predicted: 0.00104959239252
Index 70. Cross entropy, ground truth: 0.0102406581864, predicted: 0.0102406581864
Index 71. Cross entropy, ground truth: 0.00160984566901, predicted: 0.00160984566901
Index 72. Cross entropy, ground truth: 0.00275089871138, predicted: 0.00275089871138
Index 73. Cross entropy, ground truth: 0.000908549001906, predicted: 0.000908549001906
Index 74. Cross entropy, ground truth: 0.00365656754002, predicted: 0.00365656754002
Index 75. Cross entropy, ground truth: 0.168705746531, predicted: 0.338111798465
Index 76. Cross entropy, ground truth: 1.46626651287, predicted: 0.503161621094
Index 77. Cross entropy, ground truth: 0.0413930788636, predicted: 0.0413930788636
Index 78. Cross entropy, ground truth: 0.00290828244761, predicted: 0.00290828244761
Index 79. Cross entropy, ground truth: 0.0353492945433, predicted: 0.367824296653
Index 80. Cross entropy, ground truth: 0.00167324976064, predicted: 0.00167324976064
Index 81. Cross entropy, ground truth: 0.00149839068763, predicted: 0.00149839068763
Index 82. Cross entropy, ground truth: 1.41842377186, predicted: 0.619565472007
Index 83. Cross entropy, ground truth: 0.0014472939074, predicted: 0.0014472939074
Index 84. Cross entropy, ground truth: 0.153887569904, predicted: 0.512608098984
Index 85. Cross entropy, ground truth: 0.0164193026721, predicted: 0.0164193026721
Index 86. Cross entropy, ground truth: 0.0575494915247, predicted: 0.0575494915247
Index 87. Cross entropy, ground truth: 0.000910816015676, predicted: 0.700984052499
Index 88. Cross entropy, ground truth: 0.0771026238799, predicted: 0.0771026238799
Index 89. Cross entropy, ground truth: 0.00365734519437, predicted: 0.00365734519437
Index 90. Cross entropy, ground truth: 0.603842020035, predicted: 0.660054469109
Index 91. Cross entropy, ground truth: 0.00165742821991, predicted: 0.00165742821991
