Index 0. Cross entropy, ground truth: 0.204054811597, predicted: 0.0864043504
Index 1. Cross entropy, ground truth: 0.378131406009, predicted: 0.261712586507
Index 2. Cross entropy, ground truth: 0.326984584332, predicted: 0.0833910927176
Index 3. Cross entropy, ground truth: 0.162713592499, predicted: 0.101072960719
Index 4. Cross entropy, ground truth: 0.102749603242, predicted: 0.104716073722
Index 5. Cross entropy, ground truth: 0.0959309633821, predicted: 0.12467603758
Index 6. Cross entropy, ground truth: 0.0125241192058, predicted: 0.0368101090193
Index 7. Cross entropy, ground truth: 0.0845429353416, predicted: 0.109854606539
Index 8. Cross entropy, ground truth: 0.132930865884, predicted: 0.127605907619
Index 9. Cross entropy, ground truth: 0.0430015927181, predicted: 0.0823988284916
Index 10. Cross entropy, ground truth: 0.0876174513251, predicted: 0.0626522716135
Index 11. Cross entropy, ground truth: 0.0841270759702, predicted: 0.146459401399
Index 12. Cross entropy, ground truth: 0.0968499507755, predicted: 0.0783997546881
Index 13. Cross entropy, ground truth: 0.86516251564, predicted: 0.102363359928
Index 14. Cross entropy, ground truth: 0.227476286888, predicted: 0.126073887944
Index 15. Cross entropy, ground truth: 0.188251510262, predicted: 0.121071515232
Index 16. Cross entropy, ground truth: 0.594730103016, predicted: 0.283928894997
Index 17. Cross entropy, ground truth: 0.161756776646, predicted: 0.119128844887
Index 18. Cross entropy, ground truth: 0.386139956117, predicted: 0.173460273445
Index 19. Cross entropy, ground truth: 0.387660142779, predicted: 0.206836707145
Index 20. Cross entropy, ground truth: 0.0930768027902, predicted: 0.0875323204324
Index 21. Cross entropy, ground truth: 0.0346108438447, predicted: 0.0728225760162
Index 22. Cross entropy, ground truth: 0.0976706504822, predicted: 0.158639585972
Index 23. Cross entropy, ground truth: 0.0882036395371, predicted: 0.112823146582
Index 24. Cross entropy, ground truth: 0.177939975262, predicted: 0.110257352516
Index 25. Cross entropy, ground truth: 0.0336784249172, predicted: 0.0486696101725
Index 26. Cross entropy, ground truth: 0.486774085462, predicted: 0.146189725399
Index 27. Cross entropy, ground truth: 0.368529395759, predicted: 0.127127648145
Index 28. Cross entropy, ground truth: 0.241037718952, predicted: 0.146677316725
Index 29. Cross entropy, ground truth: 0.351871152967, predicted: 0.141504433751
Index 30. Cross entropy, ground truth: 0.920622467995, predicted: 0.114165426791
Index 31. Cross entropy, ground truth: 0.220565272868, predicted: 0.191463853419
Index 32. Cross entropy, ground truth: 0.241668005288, predicted: 0.175433459133
Index 33. Cross entropy, ground truth: 0.0668720476329, predicted: 0.100174885243
Index 34. Cross entropy, ground truth: 0.0671077797189, predicted: 0.137361710146
Index 35. Cross entropy, ground truth: 0.0769115488976, predicted: 0.0946971032768
Index 36. Cross entropy, ground truth: 0.0336813794449, predicted: 0.0535132952034
Index 37. Cross entropy, ground truth: 0.221510742605, predicted: 0.186305856705
Index 38. Cross entropy, ground truth: 0.199661744386, predicted: 0.089157961309
Index 39. Cross entropy, ground truth: 0.0223429974169, predicted: 0.0667657177895
Index 40. Cross entropy, ground truth: 0.310375329852, predicted: 0.0968846015632
Index 41. Cross entropy, ground truth: 0.118332295865, predicted: 0.193237803876
Index 42. Cross entropy, ground truth: 0.15619302243, predicted: 0.157494417951
Index 43. Cross entropy, ground truth: 0.350614500046, predicted: 0.186270171404
Index 44. Cross entropy, ground truth: 0.149315938354, predicted: 0.10529660508
Index 45. Cross entropy, ground truth: 0.0949782587588, predicted: 0.0994403265417
